01/01/2050	1 5309.213
01/02/2050	1 5172.985
01/03/2050	1 5023.789
01/04/2050	1 4964.783
01/05/2050	1 4906.074
01/06/2050	1 4789.845
01/07/2050	1 4660.746
01/08/2050	1 4533.528
01/09/2050	1 4463.632
01/10/2050	1 4394.330
01/11/2050	1 4325.622
01/12/2050	1 3842.588
1/13/2050	1 4366.807
1/14/2050	1 3865.854
1/15/2050	1 4366.807
1/16/2050	1 4366.807
1/17/2050	1 4339.284
1/18/2050	1 4271.072
1/19/2050	1 4216.818
1/20/2050	1 4162.961
1/21/2050	1 4056.335
1/22/2050	1 4003.567
1/23/2050	1 3938.126
1/24/2050	1 3873.180
1/25/2050	1 3808.927
1/26/2050	1 3757.842
1/27/2050	1 3719.825
1/28/2050	1 3694.579
1/29/2050	1 3669.334
1/30/2050	1 3644.286
1/31/2050	1 3631.812
02/01/2050	1 3443.267
02/02/2050	1 3416.668
02/03/2050	1 3390.188
02/04/2050	1 3363.829
02/05/2050	1 3337.709
02/06/2050	1 3311.589
02/07/2050	1 3020.317
02/08/2050	1 3042.003
02/09/2050	1 3085.856
02/10/2050	1 3096.879
02/11/2050	1 3107.902
02/12/2050	1 3118.925
2/13/2050	1 3152.234
2/14/2050	1 3219.571
2/15/2050	1 3264.861
2/16/2050	1 3632.096
2/17/2050	1 3618.437
2/18/2050	1 3591.239
2/19/2050	1 3577.580
2/20/2050	1 3536.963
2/21/2050	1 3510.124
2/22/2050	1 3456.566
2/23/2050	1 3429.967
2/24/2050	1 3118.925
2/25/2050	1 3443.267
2/26/2050	1 3443.267
2/27/2050	1 3403.488
2/28/2050	1 3324.529
03/01/2050	1 3178.672
03/02/2050	1 3139.722
03/03/2050	1 3100.898
03/04/2050	1 3049.636
03/05/2050	1 2783.521
03/06/2050	1 2804.629
03/07/2050	1 3036.820
03/08/2050	1 3024.130
03/09/2050	1 3024.130
03/10/2050	1 2804.629
03/11/2050	1 3036.820
03/12/2050	1 2998.750
3/13/2050	1 2973.495
3/14/2050	1 2960.931
3/15/2050	1 2935.802
3/16/2050	1 2923.237
3/17/2050	1 2898.360
3/18/2050	1 2873.608
3/19/2050	1 2848.856
3/20/2050	1 2648.454
3/21/2050	1 2658.756
3/22/2050	1 2668.934
3/23/2050	1 2679.236
3/24/2050	1 2885.921
3/25/2050	1 2885.921
3/26/2050	1 2885.921
3/27/2050	1 2689.539
3/28/2050	1 2699.968
3/29/2050	1 2935.802
3/30/2050	1 2885.921
3/31/2050	1 2668.934
04/01/2050	1 2233.660
04/02/2050	1 2250.905
04/03/2050	1 2285.606
04/04/2050	1 2418.729
04/05/2050	1 2638.499
04/06/2050	1 2616.838
04/07/2050	1 2562.894
04/08/2050	1 2499.066
04/09/2050	1 2311.894
04/10/2050	1 2373.829
04/11/2050	1 2418.729
04/12/2050	1 2436.816
4/13/2050	1 2500.749
4/14/2050	1 2593.809
4/15/2050	1 2872.044
4/16/2050	1 2872.044
4/17/2050	1 2622.095
4/18/2050	1 2641.128
4/19/2050	1 2708.216
4/20/2050	1 2795.913
4/21/2050	1 2865.314
4/22/2050	1 2915.577
4/23/2050	1 3223.781
4/24/2050	1 3175.621
4/25/2050	1 3151.751
4/26/2050	1 3127.881
4/27/2050	1 3127.881
4/28/2050	1 3104.117
4/29/2050	1 2786.134
4/30/2050	1 2835.451
05/01/2050	1 2634.959
05/02/2050	1 2671.546
05/03/2050	1 3023.736
05/04/2050	1 2946.285
05/05/2050	1 2625.836
05/06/2050	1 2644.082
05/07/2050	1 2680.764
05/08/2050	1 3124.755
05/09/2050	1 2811.719
05/10/2050	1 2821.222
05/11/2050	1 2840.229
05/12/2050	1 2849.827
5/13/2050	1 2897.818
5/14/2050	1 3074.768
5/15/2050	1 3165.619
5/16/2050	1 3289.256
5/17/2050	1 3415.744
5/18/2050	1 3812.503
5/19/2050	1 4187.311
5/20/2050	1 4482.386
5/21/2050	1 4894.636
5/22/2050	1 5440.976
5/23/2050	1 5918.038
5/24/2050	1 6264.905
5/25/2050	1 6607.782
5/26/2050	1 6799.462
5/27/2050	1 7043.695
5/28/2050	1 7093.111
5/29/2050	1 8089.049
5/30/2050	1 7043.695
5/31/2050	1 8033.265
06/01/2050	1 6440.384
06/02/2050	1 6575.307
06/03/2050	1 6910.230
06/04/2050	1 7111.820
06/05/2050	1 7379.122
06/06/2050	1 8553.818
06/07/2050	1 10032.889
06/08/2050	1 11623.176
06/09/2050	1 10007.909
06/10/2050	1 10931.055
06/11/2050	1 14586.885
06/12/2050	1 18391.322
6/13/2050	1 17487.587
6/14/2050	1 16022.200
6/15/2050	1 14302.877
6/16/2050	1 13418.712
6/17/2050	1 12805.191
6/18/2050	1 12354.914
6/19/2050	1 12030.015
6/20/2050	1 11508.299
6/21/2050	1 10998.517
6/22/2050	1 10775.924
6/23/2050	1 10637.977
6/24/2050	1 10364.948
6/25/2050	1 8921.995
6/26/2050	1 9086.036
6/27/2050	1 9228.119
6/28/2050	1 10437.819
6/29/2050	1 12550.936
6/30/2050	1 13486.174
07/01/2050	1 18558.601
07/02/2050	1 21442.763
07/03/2050	1 18888.413
